"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome"
"1",61,"blue-collar","married","primary","no",5,"no","no","cellular",6,"aug",562,2,94,3,"success"
"2",62,"self-employed","divorced","tertiary","no",6,"yes","no","cellular",13,"apr",103,1,182,3,"success"
"3",30,"services","divorced","secondary","no",-94,"yes","no","cellular",14,"jul",41,2,-1,0,"unknown"
"4",26,"unemployed","single","tertiary","no",814,"no","no","cellular",28,"jan",1387,1,-1,0,"unknown"
"5",46,"admin.","married","secondary","no",-121,"yes","yes","cellular",8,"jul",214,4,-1,0,"unknown"
"6",44,"admin.","married","secondary","no",1696,"no","no","unknown",16,"jun",139,3,-1,0,"unknown"
"7",37,"blue-collar","married","primary","no",253,"yes","no","cellular",19,"nov",59,2,153,2,"failure"
"8",36,"technician","single","secondary","no",3254,"yes","no","unknown",27,"oct",207,1,-1,0,"unknown"
"9",66,"retired","married","secondary","no",3409,"no","no","cellular",12,"may",801,1,86,2,"failure"
"10",29,"services","single","unknown","no",196,"no","no","cellular",30,"jan",726,2,-1,0,"unknown"
"11",31,"technician","single","tertiary","no",703,"yes","no","unknown",8,"may",943,2,-1,0,"unknown"
"12",35,"management","married","tertiary","no",0,"yes","no","cellular",5,"aug",148,2,-1,0,"unknown"
"13",45,"admin.","divorced","secondary","no",660,"yes","no","unknown",15,"may",71,2,-1,0,"unknown"
"14",51,"technician","single","tertiary","no",318,"no","no","cellular",4,"may",8,3,-1,0,"unknown"
"15",26,"blue-collar","single","secondary","no",8,"yes","no","cellular",13,"may",167,1,-1,0,"unknown"
"16",39,"technician","married","secondary","no",4101,"yes","no","cellular",18,"feb",146,2,264,1,"other"
"17",50,"technician","married","secondary","no",0,"yes","yes","cellular",18,"nov",126,2,-1,0,"unknown"
"18",54,"retired","married","secondary","no",1154,"yes","no","telephone",3,"feb",125,3,-1,0,"unknown"
"19",39,"management","single","tertiary","no",-85,"yes","no","unknown",8,"may",423,2,-1,0,"unknown"
"20",55,"blue-collar","married","secondary","no",1901,"no","no","cellular",18,"aug",143,4,-1,0,"unknown"
"21",47,"technician","married","secondary","no",293,"no","no","cellular",3,"mar",499,1,-1,0,"unknown"
