"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"1",44,"services","divorced","secondary","no",51,"yes","yes","unknown",27,"may",3094,2,-1,0,"unknown","1"
"2",34,"management","married","tertiary","no",1036,"yes","no","cellular",19,"nov",54,7,-1,0,"unknown","0"
"3",32,"management","single","unknown","no",3044,"yes","no","unknown",2,"jun",651,1,-1,0,"unknown","0"
"4",36,"technician","married","secondary","no",3579,"no","no","cellular",14,"aug",308,2,-1,0,"unknown","0"
"5",55,"admin.","married","secondary","no",1662,"no","no","cellular",4,"jun",94,2,-1,0,"unknown","1"
"6",28,"housemaid","single","tertiary","no",19,"no","no","cellular",17,"apr",149,1,-1,0,"unknown","1"
"7",29,"blue-collar","single","secondary","no",13654,"yes","yes","cellular",16,"apr",528,1,-1,0,"unknown","0"
"8",34,"management","married","tertiary","no",8000,"no","no","cellular",12,"feb",291,1,260,2,"failure","1"
"9",40,"self-employed","married","secondary","no",0,"yes","no","cellular",11,"may",657,1,-1,0,"unknown","1"
"10",26,"blue-collar","single","secondary","no",2007,"no","no","cellular",13,"oct",194,1,92,5,"success","1"
"11",37,"technician","single","tertiary","no",3943,"no","no","cellular",6,"apr",1138,2,138,1,"failure","1"
"12",58,"admin.","married","secondary","no",169,"no","no","cellular",13,"may",336,3,87,5,"success","1"
"13",42,"management","divorced","secondary","no",317,"yes","no","cellular",20,"apr",136,3,-1,0,"unknown","0"
"14",76,"retired","married","primary","no",2632,"no","no","cellular",28,"aug",368,2,-1,0,"unknown","0"
"15",49,"services","married","primary","no",1830,"yes","no","cellular",13,"aug",261,1,179,1,"success","1"
"16",46,"services","single","secondary","no",897,"yes","no","telephone",18,"nov",82,2,-1,0,"unknown","0"
"17",49,"admin.","married","secondary","no",2465,"no","no","cellular",20,"aug",157,3,-1,0,"unknown","0"
"18",33,"blue-collar","married","secondary","no",1454,"yes","no","cellular",20,"apr",322,2,-1,0,"unknown","0"
"19",35,"management","single","tertiary","no",361,"yes","no","cellular",11,"aug",169,2,-1,0,"unknown","0"
"20",33,"technician","single","secondary","no",2660,"yes","no","unknown",21,"may",121,1,-1,0,"unknown","0"
"21",54,"technician","divorced","secondary","no",2156,"yes","no","cellular",30,"apr",258,1,86,5,"success","1"
"22",31,"admin.","divorced","secondary","no",93,"yes","no","cellular",18,"nov",417,1,-1,0,"unknown","0"
"23",44,"retired","married","secondary","no",2692,"no","no","unknown",12,"jun",583,1,-1,0,"unknown","0"
"24",45,"entrepreneur","married","secondary","no",242,"no","yes","cellular",4,"feb",510,1,198,4,"failure","0"
"25",59,"retired","married","primary","no",0,"no","no","unknown",17,"jun",192,1,-1,0,"unknown","0"
"26",30,"student","single","unknown","no",4468,"no","no","cellular",2,"feb",204,1,-1,0,"unknown","1"
"27",65,"retired","married","tertiary","no",1973,"no","no","telephone",21,"apr",396,3,-1,0,"unknown","1"
"28",43,"technician","married","primary","no",2586,"yes","no","cellular",20,"apr",354,1,-1,0,"unknown","0"
"29",38,"unemployed","married","tertiary","no",2812,"yes","no","cellular",3,"nov",322,1,187,1,"success","0"
"30",29,"blue-collar","married","primary","no",79,"yes","no","unknown",27,"may",22,2,-1,0,"unknown","0"
"31",47,"blue-collar","married","secondary","no",1230,"yes","no","telephone",12,"nov",378,1,-1,0,"unknown","1"
"32",29,"blue-collar","single","secondary","no",770,"yes","no","cellular",17,"apr",341,1,-1,0,"unknown","0"
"33",31,"blue-collar","married","primary","no",50,"yes","no","unknown",8,"may",300,2,-1,0,"unknown","0"
"34",37,"technician","married","secondary","no",28,"no","no","cellular",21,"aug",101,2,-1,0,"unknown","0"
"35",48,"technician","married","secondary","no",7020,"no","no","cellular",6,"aug",80,2,-1,0,"unknown","0"
"36",32,"technician","single","secondary","no",210,"yes","no","cellular",16,"jul",298,2,-1,0,"unknown","0"
"37",51,"management","married","tertiary","no",1700,"no","no","cellular",4,"aug",147,1,-1,0,"unknown","0"
"38",35,"technician","married","secondary","no",1508,"no","no","cellular",28,"jul",339,8,-1,0,"unknown","0"
"39",37,"management","married","tertiary","no",57,"no","no","cellular",5,"feb",345,1,-1,0,"unknown","1"
